Depth :25 Time :203
Depth :25 Time :8
Depth :25 Time :1
Depth :25 Time :85
Depth :25 Time :89
Depth :25 Time :45
Depth :25 Time :77
Depth :25 Time :9
Depth :25 Time :11
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :6
Depth :25 Time :5
Depth :25 Time :173
Depth :25 Time :117
Depth :25 Time :16
Depth :25 Time :6
Depth :25 Time :2
Depth :25 Time :1
Depth :25 Time :2
Depth :25 Time :2
Depth :25 Time :19
Depth :25 Time :1
Depth :25 Time :5
Depth :25 Time :1
Depth :25 Time :34
Depth :25 Time :5
Depth :25 Time :512
Depth :25 Time :516
Depth :25 Time :504
Depth :25 Time :518
Depth :25 Time :501
Depth :25 Time :94
Depth :25 Time :63
Depth :25 Time :1
Depth :25 Time :10
Depth :25 Time :153
Depth :25 Time :246
Depth :25 Time :119
Depth :25 Time :2
Depth :25 Time :197
Depth :25 Time :12
Depth :25 Time :112
Depth :25 Time :16
Depth :25 Time :2
Depth :25 Time :9
Depth :25 Time :206
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :14
Depth :25 Time :2
Depth :25 Time :2
Depth :25 Time :46
Depth :25 Time :4
Depth :25 Time :2
Depth :25 Time :1
Depth :25 Time :13
Depth :25 Time :2
Depth :25 Time :1
Depth :25 Time :6
Depth :25 Time :6
Depth :25 Time :22
Depth :25 Time :2
Depth :25 Time :1
Depth :25 Time :19
Depth :25 Time :4
Depth :25 Time :2
Depth :25 Time :1
Depth :25 Time :518
Depth :25 Time :519
Depth :25 Time :465
Depth :25 Time :118
Depth :25 Time :31
Depth :25 Time :10
Depth :26 Time :4
Depth :26 Time :43
Depth :26 Time :470
Depth :26 Time :256
Depth :26 Time :161
Depth :26 Time :86
Depth :26 Time :10
Depth :26 Time :51
Depth :26 Time :1
Depth :26 Time :2
Depth :26 Time :3
Depth :26 Time :14
Depth :26 Time :3
Depth :26 Time :2
Depth :26 Time :30
Depth :26 Time :15
Depth :26 Time :112
Depth :26 Time :15
Depth :26 Time :56
Depth :26 Time :6
Depth :26 Time :11
Depth :26 Time :1
Depth :26 Time :106
Depth :26 Time :35
Depth :26 Time :2
Depth :26 Time :6
Depth :26 Time :1
Depth :26 Time :516
Depth :26 Time :503
Depth :26 Time :411
Depth :26 Time :124
Depth :26 Time :150
Depth :26 Time :48
Depth :26 Time :186
Depth :26 Time :45
Depth :26 Time :58
Depth :26 Time :5
Depth :26 Time :3
Depth :26 Time :2
Depth :26 Time :14
Depth :26 Time :108
Depth :26 Time :1
Depth :26 Time :76
Depth :26 Time :1
Depth :26 Time :4
Depth :26 Time :2
Depth :26 Time :5
Depth :26 Time :100
Depth :26 Time :79
Depth :26 Time :9
Depth :26 Time :1
Depth :26 Time :24
Depth :26 Time :7
Depth :26 Time :19
Depth :26 Time :6
Depth :26 Time :1
Depth :26 Time :2
Depth :26 Time :2
Depth :26 Time :2
Depth :26 Time :2
Depth :26 Time :13
Depth :26 Time :1
Depth :26 Time :1
Depth :26 Time :2
Depth :26 Time :525
Depth :26 Time :199
Depth :26 Time :228
Depth :26 Time :88
Depth :26 Time :139
Depth :26 Time :38
Depth :26 Time :1
Depth :26 Time :2
Depth :26 Time :10
Depth :26 Time :6
Depth :26 Time :11
Depth :26 Time :12
Depth :26 Time :5
Depth :26 Time :2
Depth :26 Time :1
Depth :26 Time :1
Depth :26 Time :1
Depth :26 Time :4
Depth :26 Time :33
Depth :26 Time :1
Depth :26 Time :2
Depth :26 Time :5
Depth :26 Time :504
Depth :26 Time :532
Depth :26 Time :189
Depth :26 Time :7
Depth :26 Time :1
Depth :26 Time :110
Depth :26 Time :12
Depth :26 Time :1
Depth :26 Time :38
Depth :26 Time :3
Depth :26 Time :20
Depth :26 Time :11
Depth :26 Time :3
Depth :26 Time :2
Depth :26 Time :1
Depth :26 Time :1
Depth :26 Time :497
Depth :26 Time :495
Depth :26 Time :495
Depth :26 Time :378
Depth :26 Time :233
Depth :26 Time :311
Depth :26 Time :214
Depth :26 Time :125
Depth :26 Time :71
Depth :26 Time :4
Depth :26 Time :12
Depth :26 Time :25
Depth :26 Time :1
Depth :26 Time :5
Depth :26 Time :19
Depth :26 Time :2
Depth :26 Time :1
Depth :26 Time :35
Depth :26 Time :2
Depth :26 Time :5
Depth :26 Time :39
Depth :26 Time :1
Depth :26 Time :2
Depth :26 Time :5
Depth :26 Time :30
Depth :26 Time :5
Depth :26 Time :1
Depth :26 Time :1
Depth :26 Time :490
Depth :26 Time :456
Depth :26 Time :364
Depth :26 Time :64
Depth :26 Time :43
Depth :26 Time :12
Depth :26 Time :92
Depth :26 Time :12
Depth :26 Time :4
Depth :26 Time :4
Depth :26 Time :1
Depth :26 Time :27
Depth :26 Time :2
Depth :26 Time :2
Depth :26 Time :10
Depth :26 Time :1
Depth :26 Time :1
Depth :26 Time :4
Depth :26 Time :2
Depth :26 Time :1
Depth :26 Time :2
Depth :26 Time :21
Depth :26 Time :4
Depth :26 Time :8
Depth :26 Time :214
Depth :26 Time :60
Depth :26 Time :514
Depth :26 Time :493
Depth :26 Time :454
Depth :27 Time :87
Depth :27 Time :5
Depth :27 Time :460
Depth :27 Time :275
Depth :27 Time :147
Depth :27 Time :95
Depth :27 Time :4
Depth :27 Time :3
Depth :27 Time :20
Depth :27 Time :20
Depth :27 Time :7
Depth :27 Time :1
Depth :27 Time :4
Depth :27 Time :1
Depth :27 Time :1
Depth :27 Time :4
Depth :27 Time :37
Depth :27 Time :85
Depth :27 Time :1
Depth :27 Time :2
Depth :27 Time :5
Depth :27 Time :4
Depth :27 Time :2
Depth :27 Time :64
Depth :27 Time :10
Depth :27 Time :1
Depth :27 Time :177
Depth :27 Time :52
Depth :27 Time :10
Depth :27 Time :1
Depth :27 Time :4
Depth :27 Time :2
Depth :27 Time :516
Depth :27 Time :493
Depth :27 Time :168
Depth :27 Time :405
Depth :27 Time :90
Depth :27 Time :59
Depth :27 Time :5
Depth :27 Time :7
Depth :27 Time :279
Depth :27 Time :1
Depth :27 Time :1
Depth :27 Time :20
Depth :27 Time :3
Depth :27 Time :5
Depth :27 Time :1
Depth :27 Time :120
Depth :27 Time :82
Depth :27 Time :159
Depth :27 Time :57
Depth :27 Time :77
Depth :27 Time :7
Depth :27 Time :1
Depth :27 Time :7
Depth :27 Time :1
Depth :27 Time :9
Depth :27 Time :2
Depth :27 Time :25
Depth :27 Time :10
Depth :27 Time :24
Depth :27 Time :2
Depth :27 Time :2
Depth :27 Time :3
Depth :27 Time :2
Depth :27 Time :13
Depth :27 Time :1
Depth :27 Time :15
Depth :27 Time :1
Depth :27 Time :4
Depth :27 Time :4
Depth :27 Time :526
Depth :27 Time :332
Depth :27 Time :161
Depth :27 Time :111
Depth :27 Time :198
Depth :27 Time :12
Depth :27 Time :126
Depth :27 Time :4
Depth :27 Time :14
Depth :27 Time :11
Depth :27 Time :35
Depth :27 Time :1
Depth :27 Time :1
Depth :27 Time :2
Depth :27 Time :1
Depth :27 Time :4
Depth :27 Time :1
Depth :27 Time :3
Depth :27 Time :47
Depth :27 Time :5
Depth :27 Time :1
Depth :27 Time :5
Depth :27 Time :25
Depth :27 Time :2
Depth :27 Time :1
Depth :27 Time :271
Depth :27 Time :16
Depth :27 Time :4
Depth :27 Time :1
Depth :27 Time :488
Depth :27 Time :427
Depth :27 Time :278
Depth :27 Time :65
Depth :27 Time :21
Depth :27 Time :25
Depth :27 Time :2
Depth :27 Time :3
Depth :27 Time :1
Depth :27 Time :2
Depth :27 Time :2
Depth :27 Time :10
Depth :27 Time :4
Depth :27 Time :1
Depth :27 Time :10
Depth :27 Time :503
Depth :27 Time :493
Depth :27 Time :489
Depth :27 Time :40
Depth :27 Time :2
Depth :27 Time :7
Depth :27 Time :330
Depth :27 Time :229
Depth :27 Time :149
Depth :27 Time :1
Depth :27 Time :28
Depth :27 Time :5
Depth :27 Time :79
Depth :27 Time :1
Depth :27 Time :7
Depth :27 Time :6
Depth :27 Time :3
Depth :27 Time :1
Depth :27 Time :27
Depth :27 Time :40
Depth :27 Time :16
Depth :27 Time :2
Depth :27 Time :1
Depth :27 Time :5
Depth :27 Time :24
Depth :27 Time :530
Depth :27 Time :492
Depth :27 Time :144
Depth :27 Time :498
Depth :27 Time :448
Depth :27 Time :510
Depth :27 Time :244
Depth :27 Time :4
Depth :27 Time :38
Depth :27 Time :1
Depth :27 Time :2
Depth :27 Time :2
Depth :27 Time :10
Depth :27 Time :67
Depth :27 Time :8
Depth :27 Time :1
Depth :27 Time :2
Depth :27 Time :51
Depth :27 Time :1
Depth :27 Time :10
Depth :27 Time :1
Depth :27 Time :23
Depth :27 Time :74
Depth :27 Time :4
Depth :27 Time :2
Depth :27 Time :9
Depth :27 Time :400
Depth :27 Time :60
Depth :27 Time :528
Depth :27 Time :484
Depth :27 Time :33
Depth :27 Time :11
Depth :27 Time :74
Depth :27 Time :4
Depth :27 Time :9
Depth :27 Time :7
Depth :27 Time :2
Depth :27 Time :1
Depth :27 Time :23
Depth :27 Time :2
Depth :27 Time :1
Depth :27 Time :2
Depth :27 Time :1
Depth :27 Time :4
Depth :27 Time :534
Depth :27 Time :483
Depth :27 Time :519
Depth :27 Time :116
Depth :27 Time :2
Depth :27 Time :4
Depth :27 Time :9
Depth :27 Time :24
Depth :27 Time :2
Depth :27 Time :9
Depth :27 Time :1
Depth :27 Time :4
Depth :27 Time :1
Depth :27 Time :82
Depth :27 Time :24
Depth :27 Time :166
Depth :27 Time :49
Depth :27 Time :19
Depth :27 Time :1
Depth :27 Time :8
Depth :27 Time :3
Depth :27 Time :2
Depth :27 Time :507
Depth :27 Time :491
Depth :27 Time :473
Depth :27 Time :373
Depth :27 Time :107
Depth :27 Time :40
Depth :27 Time :3
Depth :27 Time :16
Depth :27 Time :1
Depth :27 Time :1
Depth :27 Time :7
Depth :28 Time :4
Depth :28 Time :512
Depth :28 Time :284
Depth :28 Time :177
Depth :28 Time :103
Depth :28 Time :28
Depth :28 Time :8
Depth :28 Time :1
Depth :28 Time :46
Depth :28 Time :7
Depth :28 Time :1
Depth :28 Time :37
Depth :28 Time :10
Depth :28 Time :5
Depth :28 Time :7
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :47
Depth :28 Time :27
Depth :28 Time :1
Depth :28 Time :3
Depth :28 Time :1
Depth :28 Time :127
Depth :28 Time :1
Depth :28 Time :10
Depth :28 Time :87
Depth :28 Time :186
Depth :28 Time :53
Depth :28 Time :6
Depth :28 Time :1
Depth :28 Time :8
Depth :28 Time :1
Depth :28 Time :68
Depth :28 Time :1
Depth :28 Time :5
Depth :28 Time :1
Depth :28 Time :15
Depth :28 Time :3
Depth :28 Time :508
Depth :28 Time :502
Depth :28 Time :124
Depth :28 Time :79
Depth :28 Time :2
Depth :28 Time :204
Depth :28 Time :7
Depth :28 Time :232
Depth :28 Time :16
Depth :28 Time :1
Depth :28 Time :10
Depth :28 Time :4
Depth :28 Time :1
Depth :28 Time :3
Depth :28 Time :2
Depth :28 Time :168
Depth :28 Time :111
Depth :28 Time :97
Depth :28 Time :76
Depth :28 Time :113
Depth :28 Time :11
Depth :28 Time :52
Depth :28 Time :5
Depth :28 Time :17
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :10
Depth :28 Time :15
Depth :28 Time :16
Depth :28 Time :69
Depth :28 Time :19
Depth :28 Time :1
Depth :28 Time :43
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :2
Depth :28 Time :2
Depth :28 Time :14
Depth :28 Time :4
Depth :28 Time :2
Depth :28 Time :1
Depth :28 Time :1
Depth :28 Time :4
Depth :28 Time :488
Depth :28 Time :383
