experiment,graph,skeleton,nodes,hpx_threads,workers,spawn_depth,backtrack_budget,run,timeout,wall_ms,cpu_ms,vc_size,exit_code,log_file
SEQ,DSJC500_5.clq,seq,1,1,0,5,10000000,1,120m,66239,66075,487,0,/cluster/YewParVCTest/results_vc_full/logs/DSJC500_5.clq.seq.r1.log
SEQ,gen200_p0.9_44.clq,seqvc,1,1,0,5,10000000,1,120m,385177,385139,156,0,/cluster/YewParVCTest/results_vc_full/logs/gen200_p0.9_44.clq.seqvc.r1.log
SEQ,gen200_p0.9_44.clq,seq,1,1,0,5,10000000,1,120m,221025,220905,156,0,/cluster/YewParVCTest/results_vc_full/logs/gen200_p0.9_44.clq.seq.r1.log
SEQ,gen200_p0.9_55.clq,seqvc,1,1,0,5,10000000,1,120m,34165,34133,145,0,/cluster/YewParVCTest/results_vc_full/logs/gen200_p0.9_55.clq.seqvc.r1.log
SEQ,gen200_p0.9_55.clq,seq,1,1,0,5,10000000,1,120m,19594,19492,145,0,/cluster/YewParVCTest/results_vc_full/logs/gen200_p0.9_55.clq.seq.r1.log
SEQ,hamming10-4.clq,seqvc,1,1,0,5,10000000,1,120m,7200020,,,124,/cluster/YewParVCTest/results_vc_full/logs/hamming10-4.clq.seqvc.r1.log
SEQ,hamming10-4.clq,seq,1,1,0,5,10000000,1,120m,7200017,,,124,/cluster/YewParVCTest/results_vc_full/logs/hamming10-4.clq.seq.r1.log
SEQ,hamming8-4.clq,seqvc,1,1,0,5,10000000,1,120m,3604,3570,240,0,/cluster/YewParVCTest/results_vc_full/logs/hamming8-4.clq.seqvc.r1.log
SEQ,hamming8-4.clq,seq,1,1,0,5,10000000,1,120m,2682,2350,240,0,/cluster/YewParVCTest/results_vc_full/logs/hamming8-4.clq.seq.r1.log
SEQ,johnson16-2-4.clq,seqvc,1,1,0,5,10000000,1,120m,7379,7365,112,0,/cluster/YewParVCTest/results_vc_full/logs/johnson16-2-4.clq.seqvc.r1.log
SEQ,johnson16-2-4.clq,seq,1,1,0,5,10000000,1,120m,5392,5318,112,0,/cluster/YewParVCTest/results_vc_full/logs/johnson16-2-4.clq.seq.r1.log
SEQ,johnson32-2-4.clq,seqvc,1,1,0,5,10000000,1,120m,7200011,,,124,/cluster/YewParVCTest/results_vc_full/logs/johnson32-2-4.clq.seqvc.r1.log
SEQ,johnson32-2-4.clq,seq,1,1,0,5,10000000,1,120m,7200015,,,124,/cluster/YewParVCTest/results_vc_full/logs/johnson32-2-4.clq.seq.r1.log
SEQ,keller5.clq,seqvc,1,1,0,5,10000000,1,120m,7200027,,,124,/cluster/YewParVCTest/results_vc_full/logs/keller5.clq.seqvc.r1.log
SEQ,keller5.clq,seq,1,1,0,5,10000000,1,120m,7200017,,,124,/cluster/YewParVCTest/results_vc_full/logs/keller5.clq.seq.r1.log
SEQ,MANN_a45.clq,seqvc,1,1,0,5,10000000,1,120m,949,,,134,/cluster/YewParVCTest/results_vc_full/logs/MANN_a45.clq.seqvc.r1.log
SEQ,MANN_a45.clq,seq,1,1,0,5,10000000,1,120m,7200019,,,124,/cluster/YewParVCTest/results_vc_full/logs/MANN_a45.clq.seq.r1.log
SEQ,p_hat1000-1.clq,seqvc,1,1,0,5,10000000,1,120m,24228,24035,990,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat1000-1.clq.seqvc.r1.log
SEQ,p_hat1000-1.clq,seq,1,1,0,5,10000000,1,120m,19506,19222,990,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat1000-1.clq.seq.r1.log
SEQ,p_hat1000-2.clq,seqvc,1,1,0,5,10000000,1,120m,7200011,,,124,/cluster/YewParVCTest/results_vc_full/logs/p_hat1000-2.clq.seqvc.r1.log
SEQ,p_hat1000-2.clq,seq,1,1,0,5,10000000,1,120m,7200495,,,124,/cluster/YewParVCTest/results_vc_full/logs/p_hat1000-2.clq.seq.r1.log
SEQ,p_hat300-1.clq,seqvc,1,1,0,5,10000000,1,120m,86,62,292,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat300-1.clq.seqvc.r1.log
SEQ,p_hat300-1.clq,seq,1,1,0,5,10000000,1,120m,153,44,292,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat300-1.clq.seq.r1.log
SEQ,p_hat300-2.clq,seqvc,1,1,0,5,10000000,1,120m,521,486,275,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat300-2.clq.seqvc.r1.log
SEQ,p_hat300-2.clq,seq,1,1,0,5,10000000,1,120m,419,326,275,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat300-2.clq.seq.r1.log
SEQ,p_hat300-3.clq,seqvc,1,1,0,5,10000000,1,120m,36449,36396,264,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat300-3.clq.seqvc.r1.log
SEQ,p_hat300-3.clq,seq,1,1,0,5,10000000,1,120m,22790,22677,264,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat300-3.clq.seq.r1.log
SEQ,p_hat500-1.clq,seqvc,1,1,0,5,10000000,1,120m,980,928,491,0,/cluster/YewParVCTest/results_vc_full/logs/p_hat500-1.clq.seqvc.r1.log
